fruitID,year,month,day,plantID,prevplantID,og.plantposition,round,filled.seeds,shriv.seeds,total.seeds,virgin.ovules,abrt.ovules,total.ovules,notes,counter,observer,CHECK.row.sum,CHECK.total.ovules,Ratio CHECK Total/Total,Ratio  row sum/total
800394,2017,9,19,ru4,na,ru4,3,10,0,10,0,1,11,1//seed damaged,mc,ar,11,11,1,1
800395,2017,9,19,ru4,na,ru4,3,10,0,10,0,0,10,2,mc,ar,10,10,1,1
800396,2017,9,19,ru5,na,ru5,3,3,0,3,8,0,11,1,mc,ar,11,11,1,1
800397,2017,9,19,ru5,na,ru5,3,11,0,11,0,0,11,2,mc,ar,11,11,1,1
800398,2017,9,19,ru12,na,ru12,3,8,0,8,0,2,10,1//shriveled and dark; burnt in color,mc,ar,10,10,1,1
800399,2017,9,19,ru12,na,ru12,3,5,0,5,1,2,8,2//shriveled,mc,ar,8,8,1,1
800400,2017,9,19,ru9,na,ru9,3,10,0,10,2,0,12,1,mc,ar,12,12,1,1
800401,2017,9,19,ru9,na,ru9,3,10,0,10,0,0,10,2,mc,ar,10,10,1,1
800402,2017,9,19,ru10,na,ru10,3,9,0,9,1,0,10,1,mc,ar,10,10,1,1
800403,2017,9,19,ru3,na,ru3,3,12,0,12,0,0,12,1,mc,ar,12,12,1,1
800404,2017,9,19,ru3,na,ru3,3,11,0,11,0,0,11,2,mc,ar,11,11,1,1
800405,2017,9,19,ru3,na,ru3,3,10,0,10,1,0,11,3,mc,ar,11,11,1,1
800406,2017,9,19,ru6,na,ru6,3,4,1,5,1,0,6,1//seeds brown not black,mc,ar,6,6,1,1
800407,2017,9,19,ru2,na,ru2,3,10,0,10,1,0,11,1,mc,ar,11,11,1,1
800408,2017,9,19,ru2,na,ru2,3,11,0,11,0,0,11,2,mc,ar,11,11,1,1
800409,2017,9,19,ru14,ru27,ru27,3,9,0,9,0,0,9,1,mc,ar,9,9,1,1
800410,2017,9,19,ru13,na,ru13,3,11,0,11,0,0,11,1,mc,ar,11,11,1,1
800411,2017,9,19,ru13,na,ru13,3,10,1,11,1,0,12,2//light colored seeds,mc,ar,12,12,1,1
800412,2017,9,19,ru13,na,ru13,3,8,0,8,1,0,9,3,mc,ar,9,9,1,1
800413,2017,9,19,ru13,na,ru13,3,10,0,10,2,0,12,4,mc,ar,12,12,1,1
800414,2017,9,19,ne13,na,ne13,3,9,1,10,0,0,10,1//smaller in size,mc,ar,10,10,1,1
800415,2017,9,19,br8,na,br8,3,9,0,9,1,0,10,1,mc,ar,10,10,1,1
800416,2017,9,19,br8,na,br8,3,9,0,9,0,0,9,2,mc,ar,9,9,1,1
800417,2017,9,19,br8,na,br8,3,9,0,9,2,0,11,3,mc,ar,11,11,1,1
800418,2017,9,19,br8,na,br8,3,8,2,10,1,0,11,4//shriv lighter smaller,mc,ar,11,11,1,1
800419,2017,9,19,br8,na,br8,3,9,1,10,1,0,11,5///smaller same color,mc,ar,11,11,1,1
800420,2017,9,19,br4,na,br4,3,10,1,11,1,0,12,1//smaller same color,mc,ar,12,12,1,1
800421,2017,9,19,br4,na,br4,3,10,0,10,1,0,11,2,mc,ar,11,11,1,1
800422,2017,9,19,br9,na,br9,3,10,0,10,0,0,10,1,mc,ar,10,10,1,1
800423,2017,9,19,br9,na,br9,3,9,0,9,0,0,9,2,mc,ar,9,9,1,1
800424,2017,9,19,br9,na,br9,4,0,1,1,4,0,5,1//small yellow shriveled,mc,ar,5,5,1,1
800425,2017,9,19,br9,na,br9,4,0,1,1,5,0,6,2//small yelow shriveled,mc,ar,6,6,1,1
800426,2017,9,19,br2,na,br2,2,11,0,11,1,0,12,1,mc,ar,12,12,1,1
800427,2017,9,19,br15,na,br15,3,9,0,9,1,0,10,1,mc,ar,10,10,1,1
800428,2017,9,19,br7,na,br7,3,12,0,12,1,0,13,1,mc,ar,13,13,1,1
800429,2017,9,19,br11,na,br11,3,10,0,10,0,0,10,1,ar,ar,10,10,1,1
800430,2017,9,19,br11,na,br11,3,3,0,3,5,0,8,2,ar,ar,8,8,1,1
800431,2017,9,19,br11,na,br11,3,5,0,5,5,0,10,3,ar,ar,10,10,1,1
800432,2017,9,19,br11,na,br11,3,8,0,8,0,1,9,4//abrt suffered damaged from herbiv or disease,ar,ar,9,9,1,1
800433,2017,9,19,br11,na,br11,3,9,0,9,1,0,10,5,ar,ar,10,10,1,1
800434,2017,9,19,br11,na,br11,3,5,0,5,3,0,8,6,ar,ar,8,8,1,1
800435,2017,9,19,br11,na,br11,3,8,0,8,2,0,10,7,ar,ar,10,10,1,1
800436,2017,9,13,si8,na,si8,2,10,0,10,0,0,10,2,ar,kmf,10,10,1,1
800437,2017,9,13,si8,na,si8,1,9,1,10,1,0,11,1,ar,kmf,11,11,1,1
800438,2017,9,13,si14,na,si14,1,10,0,10,2,0,12,1,ar,kmf,12,12,1,1
800439,2017,9,13,si14,na,si14,1,13,0,13,0,0,13,2,ar,kmf,13,13,1,1
800440,2017,9,13,si14,na,si14,1,11,1,12,2,0,14,3,ar,kmf,14,14,1,1
800441,2017,9,13,si12,na,si12,1,12,0,12,0,0,12,2,ar,kmf,12,12,1,1
800442,2017,9,13,si12,na,si12,1,12,0,12,1,0,13,1,ar,kmf,13,13,1,1
800443,2017,9,13,si12,na,si12,1,13,0,13,0,0,13,3,ar,kmf,13,13,1,1
800444,2017,9,13,si15,na,si15,1,11,1,12,0,0,12,2//shriv seeds concave light,ar,kmf,12,12,1,1
800445,2017,9,13,si15,na,si15,1,10,3,13,0,0,13,1//shriv seeds concave light,ar,kmf,13,13,1,1
800446,2017,9,13,si15,na,si15,1,7,4,11,0,1,12,3//shriv seeds small concave dark,ar,kmf,12,12,1,1
800447,2017,9,13,ru24,na,ru24,2,11,1,12,0,0,12,1//shriv small tan,ar,kmf,12,12,1,1
800448,2017,9,13,ru24,na,ru24,2,6,2,8,5,0,13,2//shriv small,ar,ar,13,13,1,1
800449,2017,9,13,br27,na,br27,1,11,0,11,0,1,12,1,ar,ar,12,12,1,1
800450,2017,9,13,br27,na,br27,1,11,0,11,0,1,12,4,ar,ar,12,12,1,1
800451,2017,9,13,br27,na,br27,1,11,0,11,1,0,12,2,ar,ar,12,12,1,1
800452,2017,9,13,br27,na,br27,1,12,0,12,0,0,12,3,ar,ar,12,12,1,1
800453,2017,9,13,br27,na,br27,1,10,0,10,1,0,11,5//showed petiole w other fruit much less developed,ar,ar,11,11,1,1
800454,2017,9,13,br27,na,br27,2,9,0,9,3,0,12,1,ar,ar,12,12,1,1
800455,2017,9,13,ru29,na,ru29,2,4,2,6,4,0,10,3,ar,ar,10,10,1,1
800456,2017,9,13,ru29,na,ru29,2,7,2,9,3,1,13,1,ar,ar,13,13,1,1
800457,2017,9,13,ru29,na,ru29,2,6,3,9,4,0,13,2,ar,ar,13,13,1,1
800458,2017,9,13,br24,na,br24,1,6,1,7,1,2,10,3//small seeds yellow less fill,ar,ar,10,10,1,1
