pollID,ID,site,observer,date,position,round,plantID,prevplantID,og.plantposition,plot,trmnt,prevtrmnt,flowers,wither_flow,frt_removed,notes
200400,135,rudningen,adr,8/19/2017,15,2,ru15,NA,ru15,hi,op,NA,2,6,8,
200401,135,rudningen,kmf,8/30/2017,15,3,ru15,NA,ru15,hi,op,op,2,0,15,
200402,135,rudningen,kmf,9/7/2017,15,4,ru15,NA,ru15,hi,op,op,0,5,8,
200403,136,rudningen,adr,8/8/2017,16,1,ru16,NA,ru16,low,nt,NA,2,1,3,
200404,136,rudningen,adr,8/19/2017,16,2,ru16,NA,ru16,low,nt,NA,0,0,0,
200405,137,rudningen,adr,8/8/2017,17,1,ru17,NA,ru17,low,op,NA,2,2,9,
200406,137,rudningen,adr,8/19/2017,17,2,ru17,NA,ru17,low,op,NA,3,1,4,
200407,138,rudningen,adr,8/8/2017,18,1,ru18,NA,ru18,low,nt,NA,1,2,1,
200408,138,rudningen,adr,8/19/2017,18,2,ru18,NA,ru18,low,nt,NA,1,2,2,
200409,139,rudningen,adr,8/8/2017,19,1,ru19,NA,ru19,low,nt,NA,1,4,0,
200410,139,rudningen,adr,8/19/2017,19,2,ru19,NA,ru19,low,nt,NA,3,5,7,
200411,140,rudningen,adr,8/8/2017,20,1,ru20,NA,ru20,low,op,NA,1,2,1,
200412,140,rudningen,adr,8/19/2017,20,2,ru20,NA,ru20,low,op,NA,1,3,9,
200413,141,rudningen,adr,8/8/2017,21,1,ru21,NA,ru21,low,nt,NA,2,0,12,
