pollID,ID,site,observer,date,position,round,plantID,prevplantID,og.plantposition,plot,trmnt,prevtrmnt,flowers,wither_flow,frt_removed,notes
200195,68,howe,kmf,8/24/2017,8,2,ho8,NA,ho8,hi,op,NA,0,8,6,2fwp
200196,69,howe,kmf,8/12/2017,9,1,ho9,NA,ho9,hi,hp,NA,0,18,0,
200197,69,howe,kmf,8/24/2017,9,2,ho9,NA,ho9,hi,hp,NA,0,12,25,
200198,69,howe,adr,8/30/2017,9,3,ho9,NA,ho9,hi,hp,NA,5,2,13,
200199,69,howe,adr,9/7/2017,9,4,ho9,NA,ho9,hi,hp,NA,5,1,16,flowers very small maybe sterile
200200,70,howe,kmf,8/12/2017,10,1,ho10,NA,ho10,hi,nt,NA,2,4,0,
200201,70,howe,kmf,8/24/2017,10,2,ho10,NA,ho10,hi,nt,NA,0,0,16,
200202,71,howe,kmf,8/12/2017,11,1,ho11,NA,ho11,hi,hp,NA,6,7,12,
200203,71,howe,kmf,8/24/2017,11,2,ho11,NA,ho11,hi,hp,NA,0,3,14,6fwp
200204,71,howe,adr,8/30/2017,11,3,ho11,NA,ho11,hi,hp,NA,1,0,3,
200205,71,howe,adr,9/7/2017,11,4,ho11,NA,ho11,hi,hp,NA,1,0,0,
200206,72,howe,kmf,8/12/2017,12,1,ho12,NA,ho12,hi,hp,NA,2,9,29,
200207,72,howe,kmf,8/24/2017,12,2,ho12,NA,ho12,hi,hp,NA,0,3,24,2fwp
200208,73,howe,kmf,8/12/2017,13,1,ho13,NA,ho13,hi,nt,NA,4,8,2,
200209,73,howe,kmf,8/24/2017,13,2,ho13,NA,ho13,hi,nt,NA,0,4,24,
200210,74,howe,kmf,8/12/2017,14,1,ho14,NA,ho14,hi,hp,NA,3,7,5,
200211,74,howe,kmf,8/24/2017,14,2,ho14,NA,ho14,hi,hp,NA,1,15,14,3fwp
200212,74,howe,adr,8/30/2017,14,3,ho14,NA,ho14,hi,hp,NA,3,0,15,1 rd 1 frt pulled= 11/11 or 12/12
200213,74,howe,adr,9/7/2017,14,4,ho14,NA,ho14,hi,hp,NA,2,0,5,small closed flowers
200214,75,howe,kmf,8/12/2017,15,1,ho15,NA,ho15,hi,nt,NA,0,14,0,
200215,75,howe,kmf,8/24/2017,15,2,ho15,NA,ho15,hi,nt,NA,0,22,32,
200216,75,howe,adr,8/30/2017,15,3,ho15,NA,ho15,hi,hp,nt,4,0,10,
200217,75,howe,adr,9/7/2017,15,4,ho15,NA,ho15,hi,hp,nt,0,0,12,
